,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,1e-05,0.1,3,9,33,50,30,32,5
1,lstm,0.1,0.7,1,26,29,40,50,2,5
2,mlp,0.01,0.9,1,22,3,3,3,43,2
3,mlp,0.01,0.6,1,35,16,50,30,33,3
4,mlp,0.01,0.3,4,20,3,28,37,43,2
5,lstm,0.001,0.1,3,48,47,34,29,34,3
6,mlp,0.001,0.9,4,34,27,39,4,32,3
7,mlp,0.0001,0.2,3,37,46,45,49,25,2
8,mlp,1e-05,0.1,2,35,27,25,33,48,2
9,mlp,0.1,0.4,5,39,39,27,43,12,3
10,lstm,0.1,0.3,5,37,16,27,34,24,4
11,mlp,0.001,0.8,5,48,2,26,49,34,3
12,lstm,0.0001,0.0,4,25,38,37,14,34,5
13,mlp,0.001,0.6,3,2,36,36,41,41,4
14,mlp,1e-05,0.0,2,42,13,37,39,13,2
15,mlp,0.1,0.1,1,3,30,2,50,50,4
16,lstm,0.001,0.1,5,13,24,20,6,12,3
17,mlp,1e-05,0.2,3,43,47,20,31,46,4
18,mlp,0.0001,0.1,1,21,26,23,28,14,4
19,lstm,0.001,0.8,2,40,29,3,16,3,5
20,lstm,0.1,0.2,4,47,34,45,29,36,3
21,mlp,0.01,0.8,1,27,45,38,22,44,5
22,lstm,0.001,0.2,2,5,21,6,6,21,4
23,lstm,0.0001,0.9,3,10,2,37,4,39,3
24,mlp,0.01,0.9,5,4,26,14,24,8,3
25,mlp,1e-05,0.3,4,8,44,26,20,34,5
26,lstm,0.001,0.9,4,20,3,12,14,22,3
27,mlp,0.0001,0.3,3,45,8,26,37,24,5
28,lstm,0.1,0.0,1,10,12,12,36,15,4
29,mlp,1e-05,0.8,3,25,23,23,9,20,3
30,mlp,0.01,0.9,5,8,22,4,28,6,5
31,lstm,0.01,0.5,1,41,39,26,6,38,3
32,lstm,0.001,0.5,3,38,36,9,31,19,2
33,lstm,0.001,0.0,5,44,2,7,28,9,2
34,lstm,0.01,0.9,4,12,9,30,12,45,3
35,lstm,0.1,0.6,4,36,20,37,18,47,5
36,mlp,0.1,0.3,3,4,3,2,20,48,4
37,mlp,0.0001,0.5,4,6,6,22,40,31,2
38,mlp,0.01,0.9,5,46,32,44,24,18,3
39,lstm,0.001,0.3,2,25,7,19,7,50,5
40,lstm,1e-05,0.5,2,26,21,4,22,13,4
41,mlp,0.01,0.5,1,36,41,39,40,7,3
42,lstm,0.1,0.3,4,6,19,37,6,48,2
43,lstm,0.1,0.4,3,33,32,11,8,34,4
44,lstm,1e-05,0.2,2,11,11,22,21,8,4
45,lstm,0.01,0.2,5,48,4,22,41,45,3
46,lstm,0.001,0.6,5,12,5,47,44,17,4
47,lstm,0.0001,0.6,5,18,36,30,36,31,2
48,mlp,0.001,0.2,3,33,3,43,28,38,2
49,lstm,0.001,0.9,2,39,10,10,18,19,5
50,mlp,0.01,0.9,1,16,33,2,13,35,4
51,mlp,0.01,0.3,3,33,45,32,16,47,5
52,mlp,1e-05,0.9,3,43,16,5,6,50,4
53,lstm,1e-05,0.3,3,21,46,21,37,25,3
54,mlp,1e-05,0.1,1,40,34,38,26,13,3
55,mlp,0.0001,0.3,5,48,50,5,33,45,5
56,mlp,0.0001,0.8,2,36,48,4,35,7,4
57,lstm,0.001,0.1,2,41,44,45,46,7,5
58,lstm,0.0001,0.6,4,12,22,30,10,41,5
59,lstm,0.1,0.6,5,36,28,9,44,20,4
60,lstm,0.0001,0.8,1,14,35,30,39,3,2
61,lstm,0.001,0.3,2,20,11,36,14,19,4
62,mlp,0.0001,0.2,5,24,33,28,9,15,5
63,lstm,0.001,0.1,1,9,38,49,2,36,4
64,lstm,0.1,0.8,3,38,21,29,34,45,4
65,mlp,0.1,0.1,4,47,30,24,21,36,5
66,mlp,1e-05,0.7,1,43,26,26,15,37,2
67,mlp,1e-05,0.8,2,31,40,35,28,49,4
68,lstm,0.0001,0.9,5,14,25,35,2,45,5
69,mlp,0.0001,0.5,5,39,48,46,49,6,5
70,lstm,0.001,0.0,4,48,42,11,42,27,4
71,lstm,0.1,0.9,1,24,18,47,28,45,4
72,lstm,0.0001,0.4,4,12,31,34,4,19,2
73,mlp,0.1,0.5,1,44,30,3,12,34,3
74,lstm,0.0001,0.4,5,21,15,35,15,17,4
75,mlp,0.1,0.1,5,44,25,31,34,37,2
76,lstm,0.001,0.8,3,24,41,49,16,27,5
77,lstm,0.0001,0.4,5,23,47,16,18,41,3
78,lstm,1e-05,0.6,3,29,50,17,19,14,2
79,lstm,1e-05,0.7,5,48,11,40,18,31,3
80,lstm,0.01,0.7,3,21,50,27,17,9,3
81,mlp,0.1,0.1,2,27,22,33,8,13,2
82,lstm,1e-05,0.0,2,45,4,33,47,35,5
83,mlp,0.001,0.1,5,46,13,8,16,27,3
84,mlp,0.0001,0.6,2,16,17,20,31,37,5
85,lstm,0.0001,0.4,3,33,39,9,15,7,2
86,lstm,0.1,0.7,3,26,39,20,14,27,3
87,lstm,0.1,0.0,4,11,44,36,5,38,5
88,mlp,0.01,0.1,4,43,21,2,4,36,2
89,lstm,0.1,0.4,1,29,7,14,3,33,3
90,mlp,0.01,0.7,4,23,42,19,18,43,3
91,lstm,0.1,0.9,5,13,24,29,40,46,2
92,mlp,1e-05,0.6,5,14,47,36,29,44,2
93,mlp,1e-05,0.1,3,13,8,11,5,15,5
94,lstm,0.1,0.1,5,32,34,25,8,22,2
95,lstm,1e-05,0.0,4,44,10,27,50,47,5
96,lstm,1e-05,0.4,1,18,22,7,21,4,5
97,lstm,0.001,0.5,2,18,26,9,45,21,2
98,mlp,0.01,0.8,5,15,23,23,34,27,5
99,lstm,0.01,0.7,5,37,48,39,46,35,2
100,mlp,0.01,0.3,3,26,35,22,8,28,4
101,lstm,1e-05,0.1,1,21,43,36,22,28,4
102,mlp,0.001,0.4,3,49,49,35,34,2,2
103,lstm,0.001,0.5,3,38,6,30,19,32,5
104,mlp,0.0001,0.1,5,5,10,5,35,33,4
105,lstm,1e-05,0.5,3,43,25,27,21,31,4
106,lstm,0.1,0.2,3,45,16,38,10,9,3
107,mlp,1e-05,0.0,1,36,45,19,47,8,3
108,mlp,0.1,0.9,5,43,7,6,15,43,3
109,mlp,0.1,0.9,3,33,47,20,16,14,5
110,lstm,0.0001,0.7,3,36,14,32,48,6,4
111,mlp,0.01,0.0,5,26,34,33,6,27,5
112,lstm,0.001,0.7,1,14,21,46,46,43,2
113,lstm,0.001,0.8,3,36,43,38,37,20,5
114,mlp,1e-05,0.9,3,30,21,10,34,30,3
115,lstm,0.001,0.0,4,49,44,38,4,25,5
116,mlp,0.001,0.0,1,7,2,26,19,31,4
117,mlp,0.0001,0.5,4,31,9,32,24,11,5
118,lstm,0.1,0.2,3,25,10,39,20,28,4
119,mlp,0.0001,0.4,4,23,33,15,47,33,5
120,mlp,0.1,0.1,2,15,11,16,48,3,2
121,mlp,0.01,0.7,1,27,43,48,13,2,2
122,mlp,1e-05,0.0,5,15,36,29,24,5,2
123,mlp,0.1,0.4,3,13,32,47,5,15,2
124,mlp,0.1,0.7,3,45,34,33,27,9,5
125,lstm,0.01,0.6,5,46,14,12,35,18,5
126,mlp,0.0001,0.8,2,50,41,23,33,8,2
127,mlp,0.001,0.0,5,42,30,21,50,8,3
128,mlp,0.001,0.3,4,11,10,18,14,28,2
129,lstm,0.0001,0.4,3,32,46,21,19,33,3
130,mlp,0.001,0.9,4,17,23,13,40,50,3
131,mlp,1e-05,0.2,1,34,22,35,46,10,3
132,mlp,1e-05,0.7,4,23,9,10,10,46,4
133,lstm,0.1,0.8,1,38,13,45,9,16,3
134,mlp,0.0001,0.5,1,3,21,41,16,7,3
135,mlp,0.001,0.4,5,48,35,26,3,9,4
136,mlp,0.01,0.1,3,11,45,38,4,24,2
137,lstm,0.1,0.4,3,17,19,35,5,25,2
