,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.5,4,53,95,60,91,17
1,mlp,0.0001,0.3,2,90,45,97,68,64
2,lstm,0.1,0.8,5,34,71,89,90,12
3,lstm,0.1,0.5,4,53,95,60,91,17
4,lstm,0.1,0.5,4,53,95,60,91,17
5,lstm,0.1,0.8,5,34,71,89,90,12
6,lstm,0.1,0.8,5,34,71,89,90,12
7,lstm,0.1,0.8,5,34,71,89,90,12
8,mlp,0.001,0.6,2,89,6,69,44,58
9,lstm,0.1,0.5,4,53,95,60,91,17
10,lstm,0.1,0.8,5,34,71,89,90,12
11,lstm,0.1,0.5,4,53,95,60,91,17
12,lstm,0.1,0.5,4,53,95,60,91,17
13,lstm,0.1,0.8,5,34,71,89,90,12
14,lstm,0.1,0.5,4,53,95,60,91,17
15,lstm,0.1,0.5,4,53,95,60,91,17
16,lstm,0.1,0.8,5,34,71,89,90,12
17,mlp,0.0001,0.3,2,90,45,97,68,64
