,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,mlp,0.001,0.1,4,16,4,44,12,33,1
1,mlp,0.1,0.1,2,36,45,10,6,42,1
2,mlp,0.001,0.6,2,35,12,34,4,49,1
3,mlp,0.001,0.3,3,18,28,37,7,39,2
4,lstm,0.0001,0.6,4,29,12,47,17,44,2
5,mlp,0.01,0.6,4,29,45,50,43,22,2
6,lstm,0.0001,0.7,5,8,24,42,26,27,3
7,lstm,0.0001,0.3,1,24,31,17,29,33,2
8,mlp,0.01,0.0,4,46,6,49,6,39,2
9,mlp,0.001,0.3,5,24,11,23,37,46,1
10,lstm,0.0001,0.8,4,2,25,16,32,32,3
11,lstm,0.1,0.9,2,43,49,33,12,35,3
12,mlp,0.01,0.1,2,12,3,5,24,50,1
13,lstm,0.01,0.3,5,38,24,26,7,30,2
14,lstm,0.001,0.8,5,5,25,46,21,42,2
15,lstm,0.1,0.6,1,35,40,21,7,35,3
16,mlp,0.001,0.1,2,47,16,24,17,34,2
17,lstm,0.001,0.0,4,6,20,36,27,35,1
18,lstm,0.1,0.5,5,10,47,47,2,40,1
19,mlp,0.001,0.6,5,10,46,14,48,5,2
20,lstm,0.01,0.5,3,16,23,38,42,5,2
21,lstm,1e-05,0.9,5,9,16,42,24,7,1
22,lstm,0.0001,0.7,2,40,43,8,49,43,3
23,lstm,0.1,0.8,4,9,14,43,29,5,3
24,lstm,0.1,0.0,4,18,35,31,27,41,1
25,mlp,0.01,0.9,2,18,26,38,18,10,1
26,lstm,0.001,0.6,1,45,47,18,28,44,2
27,mlp,1e-05,0.2,4,2,4,12,15,40,1
28,mlp,0.0001,0.3,5,39,41,28,14,36,2
29,lstm,1e-05,0.8,2,35,23,42,37,34,2
30,lstm,0.0001,0.0,5,2,43,11,3,19,3
31,lstm,0.01,0.4,5,3,35,48,14,10,1
32,lstm,0.01,0.9,5,16,44,50,42,10,1
33,mlp,1e-05,0.4,2,43,33,2,10,18,2
34,mlp,0.001,0.3,1,26,26,11,30,25,1
35,mlp,0.01,0.7,3,23,42,48,5,19,1
36,mlp,0.1,0.8,3,2,5,13,21,45,1
37,mlp,0.1,0.7,4,13,31,36,41,33,3
38,mlp,0.1,0.0,2,24,35,32,28,10,3
39,lstm,0.1,0.2,1,46,50,33,25,49,2
40,mlp,1e-05,0.3,2,12,46,37,46,18,2
41,mlp,1e-05,0.3,3,30,3,35,23,28,2
42,lstm,0.0001,0.7,2,47,49,50,31,22,1
43,lstm,0.01,0.2,4,6,21,50,46,43,1
44,lstm,0.0001,0.0,3,32,48,32,34,40,1
45,lstm,0.0001,0.1,5,35,3,20,14,48,2
46,lstm,0.1,0.5,2,44,44,16,13,44,2
47,lstm,0.01,0.5,1,20,13,49,7,19,2
48,mlp,0.01,0.6,2,9,23,14,15,46,2
49,lstm,0.001,0.3,4,41,15,50,15,43,2
50,mlp,1e-05,0.2,4,14,14,36,34,25,3
51,mlp,1e-05,0.1,5,35,41,34,27,36,2
52,mlp,0.001,0.0,3,29,32,12,14,37,2
53,mlp,0.001,0.6,4,29,6,20,43,9,3
54,mlp,0.01,0.9,2,5,13,47,31,37,1
55,mlp,0.01,0.9,1,50,25,47,22,4,2
56,lstm,0.1,0.6,5,21,39,16,14,3,2
57,lstm,0.1,0.5,2,27,11,6,24,44,2
58,mlp,1e-05,0.5,5,28,20,33,13,17,2
59,mlp,1e-05,0.6,4,26,41,5,8,38,3
60,mlp,0.001,0.5,4,50,11,29,26,7,3
61,lstm,1e-05,0.8,1,22,11,5,33,31,2
62,lstm,0.1,0.1,1,43,31,8,39,27,1
63,lstm,0.01,0.1,2,22,48,10,49,5,3
64,lstm,0.1,0.8,2,42,6,6,12,49,3
65,mlp,1e-05,0.4,4,47,30,43,13,43,3
66,mlp,0.0001,0.8,2,32,38,47,43,11,2
67,lstm,1e-05,0.3,1,33,12,24,50,36,3
68,mlp,1e-05,0.8,3,46,34,38,27,48,3
69,lstm,0.001,0.2,3,38,8,41,47,18,3
70,lstm,1e-05,0.3,5,33,7,30,45,21,3
71,mlp,0.001,0.2,4,12,16,37,50,32,1
72,lstm,0.1,0.9,5,18,30,28,42,42,1
73,lstm,0.001,0.5,4,17,26,35,15,20,3
74,mlp,0.01,0.7,2,8,39,39,29,37,2
75,lstm,0.1,0.6,5,15,28,30,46,40,3
76,mlp,0.1,0.7,2,12,47,26,23,43,3
77,lstm,1e-05,0.3,3,20,39,31,21,29,2
78,mlp,0.01,0.0,4,46,26,10,3,26,3
79,mlp,0.001,0.7,1,38,34,5,37,49,2
80,lstm,0.01,0.1,1,37,11,10,46,11,1
81,mlp,0.001,0.2,2,28,8,27,4,7,2
82,lstm,0.1,0.0,3,11,15,45,45,38,1
83,lstm,0.1,0.0,3,47,16,18,38,2,3
84,mlp,0.01,0.7,2,2,29,26,6,19,1
85,lstm,0.0001,0.2,3,47,17,40,8,15,1
86,lstm,0.0001,0.4,5,44,2,17,4,22,2
87,lstm,0.001,0.0,5,36,14,37,41,44,1
88,lstm,1e-05,0.9,5,40,15,50,18,29,3
89,lstm,0.0001,0.7,4,4,38,43,5,9,3
90,mlp,0.01,0.9,4,12,28,41,33,5,2
91,lstm,1e-05,0.1,2,16,3,19,13,8,2
92,lstm,0.0001,0.9,1,41,49,34,8,19,3
93,lstm,0.1,0.3,5,37,19,10,2,34,3
94,lstm,1e-05,0.6,2,35,50,36,24,22,3
95,mlp,1e-05,0.1,1,21,48,35,32,2,1
96,lstm,1e-05,0.1,2,14,32,10,9,11,3
97,mlp,0.01,0.4,4,40,24,32,29,6,3
98,mlp,1e-05,0.2,1,13,34,37,19,12,1
99,mlp,0.01,0.7,4,2,2,7,8,25,1
100,lstm,1e-05,0.3,5,33,21,20,15,21,2
101,mlp,0.001,0.7,3,10,44,7,37,33,3
102,lstm,0.001,0.6,4,12,5,28,27,25,2
103,mlp,0.001,0.8,5,44,30,27,27,32,3
104,lstm,0.0001,0.7,5,27,33,7,2,32,1
105,mlp,1e-05,0.6,2,15,19,2,4,3,3
106,mlp,0.1,0.0,3,18,26,34,30,4,3
107,mlp,0.1,0.1,1,44,2,47,26,30,2
108,lstm,0.0001,0.2,1,29,29,21,24,50,3
109,mlp,0.1,0.8,1,44,24,21,27,50,1
110,mlp,0.0001,0.8,3,34,5,50,8,9,1
111,lstm,0.01,0.5,1,34,33,4,37,14,2
112,lstm,0.01,0.2,1,39,37,16,44,45,1
113,mlp,0.0001,0.7,1,12,15,43,27,32,3
114,lstm,0.1,0.6,2,26,41,20,28,7,2
115,lstm,1e-05,0.1,1,11,29,35,26,28,3
116,lstm,0.0001,0.7,5,32,25,18,33,23,1
117,mlp,0.1,0.8,3,25,3,36,37,26,1
118,lstm,0.0001,0.3,5,16,44,36,30,31,2
119,lstm,0.0001,0.3,1,17,4,28,47,49,3
120,lstm,0.0001,0.1,4,19,21,16,19,32,3
121,lstm,0.01,0.2,5,46,49,3,6,6,1
122,mlp,0.1,0.2,1,29,3,32,18,12,2
123,lstm,0.1,0.4,3,16,33,21,12,24,3
124,mlp,0.1,0.0,4,50,4,41,6,37,3
125,lstm,0.0001,0.2,5,34,7,11,27,4,1
126,lstm,0.01,0.3,3,3,12,36,8,39,1
127,lstm,0.1,0.3,1,41,10,37,46,27,3
128,mlp,0.001,0.1,4,22,10,15,6,9,1
129,lstm,1e-05,0.2,4,36,35,20,9,2,1
130,mlp,1e-05,0.4,4,26,3,29,9,2,1
131,mlp,0.1,0.1,4,34,22,19,30,36,2
132,mlp,0.1,0.2,5,4,9,39,4,5,1
133,lstm,0.01,0.9,5,9,37,5,4,49,3
134,lstm,0.01,0.3,5,34,23,7,33,10,2
135,mlp,0.1,0.9,2,13,4,14,27,39,2
136,lstm,1e-05,0.9,3,16,21,16,42,34,2
137,lstm,0.1,0.9,4,30,32,20,7,46,1
138,mlp,1e-05,0.2,4,37,37,20,7,29,2
139,lstm,0.001,0.5,4,20,34,16,38,17,1
140,lstm,0.0001,0.8,1,49,21,28,31,6,3
141,lstm,0.1,0.1,5,23,4,3,43,3,2
142,mlp,0.0001,0.8,4,5,17,50,35,31,3
