,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,4,37,61,89,85,16
2,lstm,0.1,0.1,4,65,80,31,73,45
3,mlp,0.001,0.6,2,87,4,71,43,57
4,lstm,0.1,0.3,4,58,91,47,84,27
5,lstm,0.1,0.6,4,35,60,85,83,15
6,lstm,0.1,0.8,5,34,71,89,90,12
7,lstm,0.1,0.8,5,33,71,90,90,10
8,lstm,0.1,0.5,3,48,75,70,85,19
9,lstm,0.1,0.5,4,37,67,77,84,19
10,lstm,0.1,0.8,5,33,71,90,90,10
11,lstm,0.1,0.8,5,33,71,90,90,10
12,mlp,0.001,0.6,2,87,4,71,43,57
13,lstm,0.1,0.2,4,55,99,40,86,26
14,lstm,0.1,0.2,4,55,99,40,86,26
15,lstm,0.1,0.7,4,32,70,87,89,8
16,lstm,0.1,0.7,4,32,70,87,89,8
17,lstm,0.1,0.1,4,58,92,39,83,31
