,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,mlp,0.01,0.1,3,39,49,42,21,14,3
1,mlp,0.01,0.9,1,19,17,45,12,8,2
2,mlp,0.001,0.5,2,13,17,10,2,25,2
3,lstm,0.1,0.1,4,46,12,17,36,18,4
4,mlp,0.001,0.9,4,12,50,29,26,40,5
5,mlp,0.001,0.1,1,49,42,7,10,50,3
6,lstm,0.0001,0.7,2,23,27,18,2,6,4
7,mlp,0.0001,0.8,3,29,17,2,44,9,5
8,lstm,0.0001,0.8,1,43,36,10,28,40,2
9,mlp,0.01,0.3,5,27,5,10,26,26,5
10,lstm,1e-05,0.3,4,9,25,48,27,22,5
11,mlp,0.01,0.5,5,34,27,6,23,4,2
12,mlp,0.001,0.5,3,16,25,22,15,24,2
13,lstm,0.0001,0.6,3,48,41,10,26,14,2
14,lstm,1e-05,0.8,2,30,35,47,17,7,4
15,lstm,1e-05,0.2,2,22,16,16,34,41,5
16,lstm,0.001,0.0,2,39,46,26,43,37,3
17,lstm,0.001,0.6,5,43,44,36,9,45,4
18,lstm,0.001,0.0,4,50,16,28,28,44,4
19,mlp,0.0001,0.0,2,33,30,39,9,27,3
20,mlp,0.1,0.4,2,29,23,23,25,5,5
21,lstm,0.1,0.7,2,9,35,34,40,28,4
22,mlp,0.1,0.9,2,5,23,48,2,16,2
23,lstm,0.0001,0.9,3,22,23,17,16,2,2
24,lstm,1e-05,0.3,2,25,4,11,5,49,5
25,lstm,0.0001,0.6,3,6,24,15,48,50,5
26,mlp,0.001,0.0,2,10,29,11,28,32,5
27,lstm,0.01,0.4,4,18,29,25,3,7,3
28,mlp,0.001,0.0,5,38,38,36,32,21,4
29,mlp,0.0001,0.0,4,33,25,31,37,49,2
30,lstm,1e-05,0.5,3,43,37,31,10,44,4
31,lstm,0.001,0.8,1,35,41,13,38,2,2
32,lstm,0.001,0.8,2,38,27,26,7,27,3
33,lstm,0.001,0.1,5,40,27,22,44,44,3
34,mlp,0.001,0.9,1,14,44,27,10,35,4
35,lstm,0.0001,0.9,1,15,13,16,13,34,2
36,lstm,0.0001,0.5,4,48,16,4,19,6,5
37,mlp,0.001,0.5,2,32,6,29,42,43,4
38,mlp,0.01,0.8,5,6,45,31,14,48,5
39,lstm,0.0001,0.1,4,24,26,27,13,27,4
40,lstm,0.001,0.3,1,37,39,25,6,13,2
41,mlp,0.1,0.4,5,20,29,28,14,22,5
42,mlp,0.01,0.2,3,44,34,42,3,44,4
43,lstm,0.1,0.5,4,28,5,46,35,15,2
44,mlp,0.001,0.4,1,18,35,26,37,38,2
45,mlp,0.0001,0.1,1,40,7,6,27,48,2
46,lstm,0.01,0.4,1,43,21,24,34,14,5
